No,Category,Problem Name,LeetCode,Difficulty,Status,Priority,Importance_FE,Intuition
17,String,Longest Common Prefix,14,Easy,Completed,Must Do,VVIMP,"Compare character by character across all strings. Stop at first mismatch or shortest string length."
18,String,Valid Palindrome,125,Easy,Completed,Must Do,VVIMP,"Two pointers from ends. Skip non-alphanumeric. Compare lowercase characters. Meet in middle = valid."
19,String,Minimum Remove to Make Valid Parentheses,1249,Medium,To Do,Must Do,VVIMP,"Track indices of unmatched '(' in stack. Mark unmatched ')' for removal. Build result skipping invalid indices."
20,String,Palindromic Substrings,647,Medium,To Do,Core,IMP,"Expand around center for each position. Count both odd and even length palindromes. Sum all counts."
21,String,Integer to Roman,12,Medium,To Do,Core,IMP,"Greedy: Use value-symbol pairs in descending order. Subtract largest possible value repeatedly, append symbols."
22,String,Multiply Strings,43,Medium,To Do,Depth,OPT,"Grade school multiplication. Position i*j contributes to result[i+j] and result[i+j+1]. Handle carries at end."
23,Sliding Window,Longest Substring Without Repeating,3,Medium,Completed,Must Do,VVIMP,"Expand right pointer. When duplicate found, shrink left until valid. Use HashSet or HashMap for O(1) char lookup."
24,Sliding Window,Minimum Window Substring,76,Hard,Completed,Must Do,VVIMP,"Expand right until all chars covered. Contract left while maintaining validity. Track minimum window."
25,Sliding Window,Find All Anagrams in a String,438,Medium,To Do,Must Do,VVIMP,"Fixed-size sliding window = p.length. Compare frequency maps or use matches counter when frequencies align."
26,Sliding Window,Longest Repeating Character Replacement,424,Medium,To Do,Must Do,VVIMP,"Window valid if length - maxFreq <= k. Track max frequency char count. Shrink left when invalid."
27,Sliding Window,Sliding Window Maximum,239,Hard,To Do,Core,IMP,"Monotonic decreasing deque. Remove smaller elements from back. Remove out-of-window elements from front. Front is max."
28,Sliding Window,Permutation in String,567,Medium,To Do,Core,IMP,"Fixed window of s1.length. Compare frequency arrays. Return true when frequencies match exactly."
29,Two Pointers,Trapping Rain Water,42,Hard,Completed,Must Do,VVIMP,"Two pointers + track leftMax and rightMax. Water at position = min(leftMax, rightMax) - height. Move smaller pointer."
30,Two Pointers,Valid Palindrome II,680,Easy,To Do,Must Do,VVIMP,"Two pointers from ends. On mismatch, try skipping left OR right char. Check if either remaining substring is palindrome."
31,Two Pointers,Move Zeroes,283,Easy,Completed,Must Do,VVIMP,"Two pointers: slow for next non-zero position, fast for scanning. Swap when fast finds non-zero."
32,Two Pointers,Partition Labels,763,Medium,To Do,Core,IMP,"Record last occurrence of each char. Extend partition end to max last occurrence. Cut when index reaches end."
33,Hash Map,Valid Anagram,242,Easy,Completed,Must Do,VVIMP,"Compare character frequency counts. Use array[26] for lowercase or HashMap for unicode. Counts must match."
34,Hash Map,Top K Frequent Elements,347,Medium,To Do,Must Do,VVIMP,"Count frequencies with HashMap. Use min-heap of size k, or bucket sort by frequency for O(n) solution."
35,Hash Map,First Unique Character,387,Easy,To Do,Must Do,VVIMP,"Two passes: first count frequencies, second find first char with count 1. Return its index."
36,Tree,Binary Tree Level Order Traversal,102,Medium,Completed,Must Do,VVIMP,"BFS with queue. Process level by level using queue size. Add all nodes at current level to result list."
37,Tree,Lowest Common Ancestor,236,Medium,Completed,Must Do,VVIMP,"Recursive: If node is p or q, return it. Get left and right results. If both non-null, current node is LCA."
38,Tree,Validate Binary Search Tree,98,Medium,Completed,Must Do,VVIMP,"Pass valid range (min, max) down. Left child: max = parent. Right child: min = parent. Or use inorder traversal."
39,Tree,Binary Tree Right Side View,199,Medium,Completed,Must Do,VVIMP,"BFS: Take last node of each level. Or DFS: Visit right first, take first node at each new depth."
40,Tree,Serialize and Deserialize Binary Tree,297,Hard,Completed,Core,IMP,"Preorder traversal with null markers. Serialize to string. Deserialize by reading values and reconstructing recursively."
41,Tree,Invert Binary Tree,226,Easy,Completed,Must Do,VVIMP,"Recursive: Swap left and right children. Recursively invert both subtrees. Return root."
42,Tree,Maximum Depth of Binary Tree,104,Easy,Completed,Must Do,VVIMP,"Recursive: return 1 + max(depth(left), depth(right)). Base case: null node returns 0."
43,Tree,Same Tree,100,Easy,Completed,Must Do,VVIMP,"Recursive: Both null = true. One null = false. Values equal AND left subtrees same AND right subtrees same."
44,Tree,Path Sum III,437,Medium,Completed,Core,IMP,"Prefix sum technique. Track running sum. If (currentSum - target) in HashMap, add its count. Backtrack after recursion."
45,Tree,Construct Binary Tree from Preorder and Inorder,105,Medium,Completed,Core,IMP,"Preorder first = root. Find root in inorder to split left/right subtrees. Recursively build with correct ranges."
46,Tree,Kth Smallest Element in BST,230,Medium,Completed,Core,IMP,"Inorder traversal gives sorted order. Return kth element. Can use iterative with stack for early termination."
47,Matrix,Number of Islands,200,Medium,Completed,Must Do,VVIMP,"DFS/BFS from each unvisited land cell. Sink the island (mark as visited). Count number of DFS/BFS calls."
48,Graph,Clone Graph,133,Medium,Completed,Must Do,VVIMP,"DFS with HashMap (original → clone). Create clone, store in map BEFORE recursing to handle cycles."
49,Matrix,Rotting Oranges,994,Medium,Completed,Must Do,OPT,"Multi-source BFS from all rotten oranges. Process level by level (minutes). Return -1 if fresh oranges remain."
50,Matrix,Word Search,79,Medium,Completed,Core,VVIMP,"DFS backtracking from each cell. Mark visited, explore 4 directions, unmark on backtrack. Match character by character."
51,Matrix,Pacific Atlantic Water Flow,417,Medium,Completed,Core,SKIP,"Reverse DFS from ocean edges going uphill. Find intersection of cells reachable from both oceans."
52,Stack,Valid Parentheses,20,Easy,Completed,Must Do,VVIMP,"Push opening brackets. Pop and match for closing brackets. Stack empty at end = valid."
53,Stack,Min Stack,155,Medium,To Do,Must Do,VVIMP,"Two stacks: main stack + min stack. Push current min to min stack. Pop from both. Peek min stack for getMin."
54,Stack,Daily Temperatures,739,Medium,To Do,Must Do,VVIMP,"Monotonic decreasing stack of indices. Pop smaller temps and calculate days difference. Push current index."
55,Stack,Decode String,394,Medium,To Do,Core,IMP,"Two stacks: one for counts, one for strings. Push on '[', pop and repeat on ']'. Build result iteratively."
56,Stack,Basic Calculator II,227,Medium,To Do,Depth,OPT,"Stack for numbers. Track last operator. For +/-, push number. For */, pop and compute immediately. Sum stack."
57,Stack,Evaluate Reverse Polish Notation,150,Medium,To Do,Core,IMP,"Stack of operands. Push numbers. On operator, pop two, compute, push result. Final stack top is answer."
58,Intervals,Merge Intervals,56,Medium,Completed,Must Do,VVIMP,"Sort by start time. If current overlaps with last merged, extend end. Otherwise, add new interval."
59,Intervals,Meeting Rooms II,253,Medium,Completed,Must Do,VVIMP,"Min-heap of end times. For each meeting: if start >= heap top, pop (reuse room). Push new end time. Heap size = rooms."
60,Intervals,Insert Interval,57,Medium,To Do,Must Do,VVIMP,"Add all intervals ending before newInterval. Merge overlapping intervals. Add remaining intervals."
61,Intervals,Non-overlapping Intervals,435,Medium,Completed,Core,IMP,"Sort by end time (greedy). Keep interval with earliest end. Count removals when overlap detected."
62,DP,Climbing Stairs,70,Easy,Completed,Must Do,VVIMP,"Fibonacci: dp[i] = dp[i-1] + dp[i-2]. Can reach step i from i-1 or i-2. Space optimize to two variables."
63,DP,House Robber,198,Medium,Completed,Must Do,VVIMP,"dp[i] = max(dp[i-1], dp[i-2] + nums[i]). Either skip current house or rob it + best from two houses back."
64,DP,House Robber II,213,Medium,Completed,Core,IMP,"Circular: houses 0 and n-1 are adjacent. Run House Robber I twice: skip first house OR skip last house. Take max."
65,DP,Coin Change,322,Medium,Completed,Must Do,VVIMP,"dp[amount] = min coins needed. dp[i] = min(dp[i], dp[i-coin] + 1) for each coin. Bottom-up from 0 to amount."
66,Matrix,Unique Paths,62,Medium,Completed,Must Do,IMP,"dp[i][j] = dp[i-1][j] + dp[i][j-1]. Can only come from top or left. Base: first row and column = 1."
67,DP,Longest Increasing Subsequence,300,Medium,Completed,Core,IMP,"O(n²): dp[i] = max(dp[j] + 1) for all j < i where nums[j] < nums[i]. O(n log n): Binary search on tails array."
68,DP,Word Break,139,Medium,Completed,Core,IMP,"dp[i] = can segment s[0:i]. dp[i] = true if dp[j] is true AND s[j:i] is in dictionary for some j < i."
69,DP,Decode Ways,91,Medium,Completed,Core,IMP,"dp[i] = ways to decode s[0:i]. Add dp[i-1] if valid single digit. Add dp[i-2] if valid two-digit (10-26)."
70,DP,Jump Game,55,Medium,Completed,Core,IMP,"Greedy: Track maxReach. Update maxReach = max(maxReach, i + nums[i]). If maxReach >= last index, return true."
71,Linked List,Reverse Linked List,206,Easy,Completed,Must Do,VVIMP,"Iterative: Track prev, curr, next. Point curr.next to prev. Move pointers forward. Return prev."
72,Linked List,Merge Two Sorted Lists,21,Easy,Completed,Must Do,VVIMP,"Compare heads, attach smaller to result. Advance that pointer. Attach remaining list at end."
73,Linked List,Linked List Cycle,141,Easy,Completed,Must Do,VVIMP,"Floyd's: Slow moves 1 step, fast moves 2. If they meet, cycle exists. If fast reaches null, no cycle."
74,Linked List,Remove Nth Node From End,19,Medium,To Do,Must Do,VVIMP,"Two pointers with n-node gap. Move both until fast reaches end. Slow.next is the node to remove."
75,Linked List,Reorder List,143,Medium,To Do,Core,IMP,"Find middle, reverse second half, merge alternating. Use slow/fast pointers to find middle."
76,Linked List,LRU Cache,146,Medium,To Do,Must Do,VVIMP,"HashMap + Doubly Linked List. Map for O(1) lookup. DLL for O(1) insert/remove. Move accessed nodes to head."
77,Binary Search,Binary Search,704,Easy,Completed,Must Do,VVIMP,"left = 0, right = n-1. mid = (left + right) / 2. Compare and halve search space. Return mid or -1."
78,Binary Search,Search in Rotated Sorted Array,33,Medium,Completed,Must Do,VVIMP,"Find which half is sorted. Check if target is in sorted half. Adjust left/right accordingly."
79,Binary Search,Find Minimum in Rotated Sorted Array,153,Medium,Completed,Must Do,VVIMP,"Binary search: If mid > right, min is in right half. Otherwise min is in left half (including mid)."
80,Matrix,Search a 2D Matrix,74,Medium,To Do,Core,IMP,"Treat 2D as 1D array. Binary search with index conversion: row = mid / cols, col = mid % cols."
81,Binary Search,Find Peak Element,162,Medium,To Do,Core,IMP,"Binary search: If nums[mid] < nums[mid+1], peak is on right. Otherwise peak is on left (including mid)."
82,Matrix,Set Matrix Zeroes,73,Medium,To Do,Must Do,VVIMP,"Use first row/column as markers. Track if first row/col originally had zeros. Mark then fill zeros."
83,Matrix,Rotate Image,48,Medium,To Do,Must Do,VVIMP,"Transpose matrix (swap [i][j] with [j][i]). Then reverse each row. Or rotate layer by layer from outside in."
84,Heap,Kth Largest Element in Array,215,Medium,To Do,Must Do,VVIMP,"Min-heap of size k. Push elements, pop if size > k. Top of heap is kth largest. Or use QuickSelect for O(n) avg."
85,Heap,K Closest Points to Origin,973,Medium,To Do,Must Do,IMP,"Max-heap of size k by distance. Push points, pop if size > k. Heap contains k closest points."
86,Heap,Merge K Sorted Lists,23,Hard,To Do,Core,IMP,"Min-heap of list heads. Pop smallest, push its next node. Build result list. O(n log k) time."
87,Backtracking,Subsets,78,Medium,To Do,Must Do,VVIMP,"For each element: include or exclude. Recursively build subsets. Add current subset at each step (including empty)."
88,Backtracking,Permutations,46,Medium,Completed,Must Do,VVIMP,"Swap current element with each remaining. Recurse. Backtrack by swapping back. Base: all elements placed."
89,Backtracking,Generate Parentheses,22,Medium,Completed,Must Do,VVIMP,"Track open and close counts. Add '(' if open < n. Add ')' if close < open. Base: length = 2n."
90,Backtracking,Combination Sum,39,Medium,To Do,Core,IMP,"Sort candidates. For each candidate, include (allowing repeats) or skip. Prune when sum exceeds target."
91,Backtracking,Letter Combinations of Phone,17,Medium,To Do,Core,IMP,"Map digits to letters. For each digit, try all its letters. Recurse to next digit. Collect at end."
92,System Design,Insert Delete GetRandom O(1),380,Medium,To Do,Must Do,VVIMP,"HashMap (val → index) + Array. Insert: add to array and map. Delete: swap with last, update map, pop. Random: random array index."
93,System Design,Design Hit Counter,362,Medium,To Do,Core,IMP,"Queue of timestamps. On hit: add timestamp. On getHits: remove timestamps older than 300s, return queue size."
94,System Design,Design Browser History,1472,Medium,To Do,Core,IMP,"Two stacks: back history and forward history. Visit clears forward. Back/forward moves between stacks."
95,Stack,Flatten Nested List Iterator,341,Medium,To Do,Must Do,IMP,"Stack of reverse iterators. hasNext: flatten until top is integer. next: pop and return integer."
96,Binary Search,Time Based Key-Value Store,981,Medium,Completed,Must Do,VVIMP,"HashMap of key → sorted list of (timestamp, value). Binary search for largest timestamp <= query."
97,Recursion,Nested List Weight Sum,339,Medium,To Do,Core,IMP,"DFS with depth parameter. For integers: add value × depth. For lists: recurse with depth + 1."
98,String,Valid Parenthesis String,678,Medium,To Do,Core,IMP,"Track min and max possible open count. '*' can be '(', ')', or empty. Valid if 0 is in [min, max] range at end."
99,Array,Find First and Last Position,34,Medium,To Do,Core,IMP,"Two binary searches: one for leftmost target, one for rightmost. Use left-biased and right-biased conditions."
100,Graph,Course Schedule,207,Medium,Completed,Must Do,VVIMP,"Cycle detection in directed graph. Use 3-state DFS (unvisited, visiting, visited). Cycle = cannot finish."
101,Graph,Course Schedule II,210,Medium,Completed,Must Do,VVIMP,"Topological sort. DFS post-order + reverse, or BFS with in-degree (Kahn's algorithm). Return order or [] if cycle."
102,Graph,Graph Valid Tree,261,Medium,Completed,Must Do,VVIMP,"Tree = no cycles + fully connected. Check edges = n-1. DFS with parent tracking to detect cycles in undirected graph."
103,Graph,Number of Connected Components,323,Medium,Completed,Core,IMP,"DFS/BFS from each unvisited node. Each new DFS start = new component. Count total components."
104,Graph,Accounts Merge,721,Medium,To Do,Must Do,IMP,"Union-Find: emails are nodes, union emails within same account. Group by root parent. Sort and format output."
105,Graph,Redundant Connection,684,Medium,To Do,Core,OPT,"Union-Find: process edges. If union returns false (already connected), that edge creates cycle. Return it."
106,Graph,Alien Dictionary,269,Hard,To Do,Depth,SKIP,"Build graph from word order comparisons. Topological sort gives character order. Handle invalid cases."
107,Graph,Network Delay Time,743,Medium,To Do,Must Do,SKIP,"Dijkstra's algorithm from source node. Track shortest time to each node. Return max time or -1 if unreachable."
108,Graph,Cheapest Flights Within K Stops,787,Medium,To Do,Must Do,SKIP,"Bellman-Ford with k+1 iterations. Or BFS/DFS with pruning. Track minimum cost to reach each node within stops limit."
109,Matrix,Path With Minimum Effort,1631,Medium,To Do,Must Do,SKIP,"Binary search on effort + BFS/DFS to check feasibility. Or Dijkstra treating max diff as edge weight."
110,Matrix,Shortest Path in Binary Matrix,1091,Medium,To Do,Must Do,SKIP,"BFS from top-left. 8-directional movement. First to reach bottom-right gives shortest path length."
111,Graph,Swim in Rising Water,778,Hard,To Do,Core,SKIP,"Binary search on time + BFS/DFS to check reachability. Or Dijkstra with max elevation as edge weight."
112,Graph,Find the City With Smallest Number of Neighbors,1334,Medium,To Do,Core,SKIP,"Floyd-Warshall for all pairs shortest paths. Count reachable cities within threshold for each city."
113,Graph,Shortest Path to Get All Keys,864,Hard,To Do,Depth,SKIP,"BFS with state = (position, keys collected as bitmask). Track visited states to avoid revisiting."
114,Graph,Bus Routes,815,Hard,To Do,Must Do,SKIP,"BFS on bus routes (not stops). Build graph of routes sharing stops. Count route changes from source to target."
115,Graph,Word Ladder,127,Hard,To Do,Must Do,SKIP,"BFS from beginWord. Generate all one-char-different words. Check if in wordList. Track level for length."
116,Matrix,Walls and Gates,286,Medium,To Do,Must Do,OPT,"Multi-source BFS from all gates. Spread outward updating distances. Empty rooms get minimum distance to any gate."
117,Graph,Word Search II,212,Hard,To Do,Must Do,SKIP,"Trie + DFS backtracking. Build trie from words. DFS from each cell matching trie path. Prune visited branches."
118,Graph,Number of Provinces,547,Medium,Completed,Must Do,VVIMP,"Adjacency matrix. DFS/BFS from each unvisited city. Count connected components. Same as number of friend circles."
119,Matrix,Surrounded Regions,130,Medium,To Do,Must Do,IMP,"DFS from border 'O's to mark safe cells. Then flip remaining 'O's to 'X'. Restore marked cells to 'O'."
120,Matrix,Shortest Bridge,934,Medium,To Do,Core,OPT,"DFS to find and mark first island. BFS from first island's cells to reach second island. Count BFS levels."
121,Graph,Is Graph Bipartite?,785,Medium,Completed,Core,IMP,"Two-coloring with DFS/BFS. Assign alternating colors to neighbors. If conflict (same color neighbors), not bipartite."
122,Recursion,Reverse String (Recursive),344,Easy,To Do,Core,IMP,"Two pointers: swap first and last, recursively reverse middle portion. Base: pointers cross."
123,Recursion,Pow(x n),50,Medium,To Do,Core,IMP,"Binary exponentiation: x^n = (x^(n/2))^2. Handle negative n by computing 1/x^(-n). O(log n) time."
124,Bit Manipulation,Single Number,136,Easy,To Do,Must Do,VVIMP,"XOR all numbers. Pairs cancel out (a^a=0). Single number remains. a^0=a and a^a=0 properties."
125,Bit Manipulation,Counting Bits,338,Medium,To Do,Core,IMP,"dp[i] = dp[i >> 1] + (i & 1). Number of 1s = 1s in i/2 plus last bit. Or dp[i] = dp[i & (i-1)] + 1."
